,Sales ID,Sales Price,Machine ID,Model ID,datasource,Auctioneer ID,Year Made,MachineHours CurrentMeter,Usage Band,Sales date,Model Description,Base Model,Secondary Description,Model Series,Model Descriptor,Machine Size,Product Class Description,State of Usage,Product Group,Product Group Description,Driver System,Enclosure,Control,Touchpad Type,Control Type,Version,Transmission,Turbo Charged,Extra features,Machine Width,Clean Room,Engine Horsepower,Hydraulics,Push Block,Ripper,Scarifier,Tip Control,Screen Size,Coupler,Couple System,Grouser Tracks,Hydraulics Flow,Tupper Type,Screen Size.1,Stick Length,Thumb,Pattern Changer,Grouser Type,Backhoe Mounting,Blade Type,Travel Possibilities,Differential Type,Steering Controls
0,1139246,66000.0,999089,3157,121,3.0,2004,68.0,Low,11/16/2006 0:00,521D,521,D,,,,Type E - 110.0 to 120.0 Horsepower,Alabama,WL,Germany,,EROPS w AC,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
1,1139248,57000.0,117657,77,121,3.0,1996,4640.0,Low,3/26/2004 0:00,950FII,950,F,II,,Medium,Type E - 150.0 to 175.0 Horsepower,North Carolina,WL,Germany,,EROPS w AC,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,23.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
2,1139249,10000.0,434808,7009,121,3.0,2001,2838.0,High,2/26/2004 0:00,226,226,,,,,Type F - 1351.0 to 1601.0 Lb Operating Capacity,New York,SSL,France,,OROPS,None or Unspecified,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,Standard,,,,,,,,,,,
3,1139251,38500.0,1026470,332,121,3.0,2001,3486.0,High,5/19/2011 0:00,PC120-6E,PC120,,-6E,,Small,Type C - 12.0 to 14.0 Metric Tons,Texas,TEX,UK,,EROPS w AC,,,,,,,,,,,2 Valve,,,,,,None or Unspecified,,,,,,,,,,,,,,
4,1139253,11000.0,1057373,17311,121,3.0,2007,722.0,Medium,7/23/2009 0:00,S175,S175,,,,,Type F - 1601.0 to 1751.0 Lb Operating Capacity,New York,SSL,France,,EROPS,None or Unspecified,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,Standard,,,,,,,,,,,
5,1139255,26500.0,1001274,4605,121,3.0,2004,508.0,Low,12/18/2008 0:00,310G,310,G,,,,Type B - 14.0 to 15.0 Ft Standard Digging Depth,Arizona,BL,USA,Four Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Extended,Powershuttle,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
6,1139256,21000.0,772701,1937,121,3.0,1993,11540.0,High,8/26/2004 0:00,790ELC,790,E,,LC,Large / Medium,Type C - 21.0 to 24.0 Metric Tons,Florida,TEX,UK,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
7,1139261,27000.0,902002,3539,121,3.0,2001,4883.0,High,11/17/2005 0:00,416D,416,D,,,,Type B - 14.0 to 15.0 Ft Standard Digging Depth,Illinois,BL,USA,Four Wheel Drive,OROPS,None or Unspecified,Reversible,No,Standard,Standard,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
8,1139272,21500.0,1036251,36003,121,3.0,2008,302.0,Low,8/27/2009 0:00,430HAG,430,HAG,,,Mini,Type C - 3.0 to 4.0 Metric Tons,Texas,TEX,UK,,EROPS,,,,,,,,,,,Auxiliary,,,,,,Manual,,,,Rubber,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
9,1139275,65000.0,1016474,3883,121,3.0,1000,20700.0,Medium,8/9/2007 0:00,988B,988,B,,,Large,Type E - 350.0 to 500.0 Horsepower,Florida,WL,Germany,,EROPS w AC,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
10,1139278,24000.0,1024998,4605,121,3.0,2004,1414.0,Medium,8/21/2008 0:00,310G,310,G,,,,Type B - 14.0 to 15.0 Ft Standard Digging Depth,Oregon,BL,USA,Four Wheel Drive,OROPS,None or Unspecified,Street,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
11,1139282,22500.0,319906,5255,121,3.0,1998,2764.0,Low,8/24/2006 0:00,D31E,D31,E,,,,Type D - 20.0 to 75.0 Horsepower,Ohio,TTT,Japan,,EROPS w AC,,,,,Standard,,,,,,2 Valve,,None or Unspecified,,,,,,,,,,,,,,None or Unspecified,PAT,None or Unspecified,,
"12,1139283,36000.0,1052214,2232,121,3.0,1998,0.0,,10/20/2005 0:00,PC200LC6,PC200,,LC,6,Large / Medium,Type C - 19.0 to 21.0 Metric Tons,Ohio,TEX,UK,,EROPS,,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,,,,Steel,None or Unspecified,""11' 0"""""",None or Unspecified,None or Unspecified,Double,,,,,"
13,1139284,30500.0,1068082,3542,121,3.0,2001,1921.0,Medium,1/26/2006 0:00,420D,420,D,,,,Type B - 14.0 to 15.0 Ft Standard Digging Depth,Texas,BL,USA,Four Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
14,1139290,28000.0,1058450,5162,121,3.0,2004,320.0,Low,1/3/2006 0:00,214E,214,E,,,,Type B - 14.0 to 15.0 Ft Standard Digging Depth,North Carolina,BL,USA,Four Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
15,1139291,19000.0,1004810,4604,121,3.0,1999,2450.0,Medium,11/16/2006 0:00,310E,310,E,,,,Type B - 14.0 to 15.0 Ft Standard Digging Depth,Arkansas,BL,USA,Two Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
16,1139292,13500.0,1026973,9510,121,3.0,1999,1972.0,Low,6/14/2007 0:00,334,334,,,,Mini,Type C - 3.0 to 4.0 Metric Tons,Florida,TEX,UK,,EROPS,,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,,,,Rubber,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
17,1139299,9500.0,1002713,21442,121,3.0,2003,0.0,,1/28/2010 0:00,45NX,45,NX,,,Mini,Type C - 4.0 to 5.0 Metric Tons,Wisconsin,TEX,UK,,EROPS,,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,,,,Steel,16 inch,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
18,1139301,12500.0,125790,7040,121,3.0,2001,994.0,Low,3/9/2006 0:00,302.5,302.5,,,,Mini,Type C - 2.0 to 3.0 Metric Tons,North Carolina,TEX,UK,,EROPS,,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,,,,Rubber,None or Unspecified,None or Unspecified,None or Unspecified,Yes,Double,,,,,
19,1139304,11500.0,1011914,3177,121,3.0,1991,8005.0,Medium,11/17/2005 0:00,580SUPER K,580,SUPER K,,,,Type B - 14.0 to 15.0 Ft Standard Digging Depth,Illinois,BL,USA,Two Wheel Drive,EROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
20,1139311,41000.0,1014135,8867,121,3.0,2000,3259.0,Medium,5/18/2006 0:00,JS260,JS260,,,,Large / Medium,Type C - 24.0 to 28.0 Metric Tons,Kansas,TEX,UK,,EROPS w AC,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,32 inch,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
"21,1139333,34500.0,999192,3350,121,3.0,1000,16328.0,Medium,10/19/2006 0:00,120G,120,G,,,,Type A - 45.0 to 130.0 Horsepower,Nevada,MG,Brazil,No,EROPS,,,,,Powershift,,Yes,None or Unspecified,None or Unspecified,No,Base + 1 Function,None or Unspecified,None or Unspecified,Yes,Sideshift & Tip,""13"""""",,,,,,,,,,,,,,,"
22,1139344,26000.0,1044500,7040,121,3.0,2005,109.0,Low,10/25/2007 0:00,302.5,302.5,,,,Mini,Type C - 2.0 to 3.0 Metric Tons,Iowa,TEX,UK,,EROPS w AC,,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,,,,Rubber,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
23,1139346,73000.0,821452,85,121,3.0,1996,17033.0,High,10/19/2006 0:00,966FII,966,F,II,,Medium,Type E - 200.0 to 225.0 Horsepower,Maine,WL,Germany,,EROPS w AC,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,26.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
24,1139348,33000.0,294562,3542,121,3.0,2001,1877.0,Medium,5/20/2004 0:00,420D,420,D,,,,Type B - 14.0 to 15.0 Ft Standard Digging Depth,Texas,BL,USA,Four Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Standard,Standard,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
25,1139351,12500.0,833838,7009,121,3.0,2003,1028.0,Medium,3/9/2006 0:00,226,226,,,,,Type F - 1351.0 to 1601.0 Lb Operating Capacity,Massachusetts,SSL,France,,EROPS,,,,,,,,,,,Auxiliary,,,,,,Manual,None or Unspecified,,,,,,,,,,,,,
