Feature_name,Feature_importance
Type C - 16.0 to 19.0 Metric Tons,0.0003786647253420774
4 Valve,0.000398380515783704
Type A - 170.0 to 200.0 Horsepower,0.00023621547379969136
Type C - 150.0 to 300.0 Metric Tons,1.0319362912768856e-05
Type F - 1351.0 to 1601.0 Lb Operating Capacity,1.816343411288969e-05
D136,0.0014685778177618788
D121,0.0006313458985842097
D132,0.017815128629086678
D172,0.0007262681713572157
Type C - 21.0 to 24.0 Metric Tons,0.0010323338407274933
Type C - 33.0 to 40.0 Metric Tons,0.0007209306224341053
Type D - 105.0 to 130.0 Horsepower,0.00028893740067721164
Type E - 120.0 to 135.0 Horsepower,0.0004768635973502727
Type E - 80.0 to 90.0 Horsepower,1.5190967109418007e-05
WL,0.0007271768091192182
Type F - 1601.0 to 1751.0 Lb Operating Capacity,9.985468618250768e-06
Type E - 40.0 to 60.0 Horsepower,1.1903800337949477e-05
Type C - 300.0 + Metric Tons,5.042842571997341e-08
OROPS,0.0033463556690631444
Type E - 110.0 to 120.0 Horsepower,8.054109275827923e-05
EROPS AC,5.402480300468154e-07
Type E - 135.0 to 150.0 Horsepower,0.0002019514466573793
Type E - 60.0 to 80.0 Horsepower,4.429039609175362e-05
Type E - 200.0 to 225.0 Horsepower,0.0002353950466072403
Type F - 2201.0 to 2701.0 Lb Operating Capacity,1.03579623653275e-05
Base + 1 Function,0.0007079508164038304
Type F - 701.0 to 976.0 Lb Operating Capacity,7.92042358765109e-07
Type E - 0.0 to 40.0 Horsepower,1.6297288339637775e-06
Type E - 350.0 to 500.0 Horsepower,0.00022117039245169993
Year Made,0.04401851573995966
Standard,0.001132419342533604
Type C - 14.0 to 16.0 Metric Tons,0.00023561343064353954
Type B - 0.0 to 14.0 Ft Standard Digging Depth,2.7263218778813655e-05
2 Valve,0.0010230124249425829
EROPS,0.0018067705646812023
Type C - 5.0 to 6.0 Metric Tons,2.018061941291612e-05
Type D - 160.0 to 190.0 Horsepower,0.00047589889184870496
Type C - 50.0 to 66.0 Metric Tons,0.0003799495052658352
Type D - 260.0 + Horsepower,0.0003575810628117094
Base + 5 Function,2.8542992280642916e-05
Type F - 2701.0+ Lb Operating Capacity,7.36207270306174e-06
Type C - 4.0 to 5.0 Metric Tons,1.972783501020071e-05
Type C - 66.0 to 90.0 Metric Tons,0.00010221876328539285
Type E - Unidentified,3.2248475832852527e-06
Type F - 1751.0 to 2201.0 Lb Operating Capacity,1.113910025690159e-05
Type C - 90.0 to 150.0 Metric Tons,1.8349953528057e-05
Type E - 275.0 to 350.0 Horsepower,0.00040181089705348055
